,state,Year,Uninsured: %
0,AL,2014,14.2
1,AL,2013,15.9
2,AL,2012,15.8
3,AL,2011,16.6
4,AL,2010,16.9
5,AL,2009,15.8
6,AL,2008,15.3
7,AL,2007,14.6
8,AL,2006,15.7
9,AL,2014,11.0
10,AL,2013,13.4
11,AL,2012,12.8
12,AL,2011,13.9
13,AL,2010,13.6
14,AL,2009,14.0
15,AL,2008,13.3
16,AL,2007,13.7
17,AL,2006,14.0
18,AL,2014,16.1
19,AL,2013,17.4
20,AL,2012,15.8
21,AL,2011,16.6
22,AL,2010,19.1
23,AL,2009,16.6
24,AL,2008,16.4
25,AL,2007,18.3
26,AL,2006,20.1
27,AL,2014,15.3
28,AL,2013,17.5
29,AL,2012,17.5
30,AL,2011,18.9
31,AL,2010,18.5
32,AL,2009,17.9
33,AL,2008,17.6
34,AL,2007,13.5
35,AL,2006,16.2
36,AL,2014,13.6
37,AL,2013,15.1
38,AL,2012,15.1
39,AL,2011,16.0
40,AL,2010,17.7
41,AL,2009,17.8
42,AL,2008,18.0
43,AL,2007,16.5
44,AL,2006,15.0
45,AL,2014,16.5
46,AL,2013,17.6
47,AL,2012,18.3
48,AL,2011,18.1
49,AL,2010,19.3
50,AL,2009,17.8
51,AL,2008,19.4
52,AL,2007,18.3
53,AL,2006,20.0
54,AL,2014,17.3
55,AL,2013,18.8
56,AL,2012,17.5
57,AL,2011,15.7
58,AL,2010,16.2
59,AL,2009,19.4
60,AL,2008,19.1
61,AL,2007,15.0
62,AL,2006,18.1
63,AL,2014,14.4
64,AL,2013,15.7
65,AL,2012,16.6
66,AL,2011,16.4
67,AL,2010,17.1
68,AL,2009,17.9
69,AL,2008,17.1
70,AL,2007,14.4
71,AL,2006,14.5
72,AL,2014,14.2
73,AL,2013,16.0
74,AL,2012,15.3
75,AL,2011,16.9
76,AL,2010,16.1
77,AL,2009,15.5
78,AL,2008,15.4
79,AL,2007,13.1
80,AL,2006,13.6
81,AL,2014,14.9
82,AL,2013,16.8
83,AL,2012,16.0
84,AL,2011,17.9
85,AL,2010,18.8
86,AL,2009,18.7
87,AL,2008,17.0
88,AL,2007,12.9
89,AL,2006,12.9
90,AL,2014,14.6
91,AL,2013,16.5
92,AL,2012,16.7
93,AL,2011,17.2
94,AL,2010,18.8
95,AL,2009,17.8
96,AL,2008,17.1
97,AL,2007,16.2
98,AL,2006,17.5
99,AL,2014,17.7
100,AL,2013,19.2
101,AL,2012,19.2
102,AL,2011,20.2
103,AL,2010,20.0
104,AL,2009,19.3
105,AL,2008,19.0
106,AL,2007,16.6
107,AL,2006,17.2
108,AL,2014,14.3
109,AL,2013,16.0
110,AL,2012,16.1
111,AL,2011,17.6
112,AL,2010,17.9
113,AL,2009,18.3
114,AL,2008,15.9
115,AL,2007,14.7
116,AL,2006,17.2
117,AL,2014,15.1
118,AL,2013,15.8
119,AL,2012,17.0
120,AL,2011,18.4
121,AL,2010,16.6
122,AL,2009,16.8
123,AL,2008,16.8
124,AL,2007,16.0
125,AL,2006,14.1
126,AL,2014,17.8
127,AL,2013,19.3
128,AL,2012,18.8
129,AL,2011,19.2
130,AL,2010,18.8
131,AL,2009,18.0
132,AL,2008,16.5
133,AL,2007,16.0
134,AL,2006,17.8
135,AL,2014,14.3
136,AL,2013,16.7
137,AL,2012,16.0
138,AL,2011,16.7
139,AL,2010,17.6
140,AL,2009,17.9
141,AL,2008,17.6
142,AL,2007,15.2
143,AL,2006,17.1
144,AL,2014,15.0
145,AL,2013,16.7
146,AL,2012,16.0
147,AL,2011,17.3
148,AL,2010,18.1
149,AL,2009,15.6
150,AL,2008,15.7
151,AL,2007,15.7
152,AL,2006,17.1
153,AL,2014,13.0
154,AL,2013,14.5
155,AL,2012,14.3
156,AL,2011,15.0
157,AL,2010,14.7
158,AL,2009,16.2
159,AL,2008,15.7
160,AL,2007,14.0
161,AL,2006,14.7
162,AL,2014,16.6
163,AL,2013,18.4
164,AL,2012,18.2
165,AL,2011,19.0
166,AL,2010,18.6
167,AL,2009,16.8
168,AL,2008,15.0
